entry_time,exit_time,side,entry_price,exit_price,pnl,reason,system,held_bars
2025-11-03 06:20:00,2025-11-03 07:05:00,LONG,26046.5,26033.89,-252.14,real_dollar_stop,Z-Score MR v2,9.0
2025-11-03 06:20:00,,LONG,26046.5,26055.75,185.0,target,VWAP Reversion,
2025-11-03 06:40:00,2025-11-03 06:50:00,SHORT,26043.25,26056.14,-257.86,stop,Layer I,
2025-11-03 06:40:00,,LONG,26043.25,26049.75,130.0,target,VWAP Reversion,
2025-11-03 07:00:00,,LONG,26034.75,26043.75,180.0,target,VWAP Reversion,
2025-11-03 07:10:00,2025-11-03 08:20:00,LONG,26030.0,26054.0,480.0,reverted,Z-Score MR v2,14.0
2025-11-03 07:25:00,,LONG,26036.75,26019.5,-345.0,stop,VWAP Reversion,
2025-11-03 07:45:00,,LONG,26023.75,26030.0,125.0,target,VWAP Reversion,
2025-11-03 07:55:00,,LONG,26031.0,26036.75,115.0,target,VWAP Reversion,
2025-11-03 08:05:00,,LONG,26033.5,26051.0,350.0,target,VWAP Reversion,
2025-11-03 09:00:00,2025-11-03 09:10:00,SHORT,26101.5,26117.62,-322.5,real_dollar_stop,Z-Score MR v2,2.0
2025-11-03 09:05:00,,SHORT,26117.5,26139.75,-445.0,stop,VWAP Reversion,
2025-11-03 09:15:00,2025-11-03 09:25:00,SHORT,26129.25,26144.71,-309.29,real_dollar_stop,Z-Score MR v2,2.0
2025-11-03 09:25:00,,SHORT,26146.75,26140.0,135.0,target,VWAP Reversion,
2025-11-03 09:30:00,2025-11-03 10:45:00,SHORT,26140.0,26154.41,-288.21,real_dollar_stop,Z-Score MR v2,15.0
2025-11-03 09:35:00,,SHORT,26145.0,26133.5,230.0,target,VWAP Reversion,
2025-11-03 09:55:00,,SHORT,26129.25,26153.5,-485.0,stop,VWAP Reversion,
2025-11-03 10:45:00,,SHORT,26155.0,26138.5,330.0,target,VWAP Reversion,
2025-11-03 11:00:00,,SHORT,26156.75,26175.0,-365.0,stop,VWAP Reversion,
2025-11-03 11:20:00,,SHORT,26163.75,26156.0,155.0,target,VWAP Reversion,
2025-11-03 11:55:00,,SHORT,26153.25,26173.25,-400.0,stop,VWAP Reversion,
2025-11-03 12:10:00,,SHORT,26179.25,26166.25,260.0,target,VWAP Reversion,
2025-11-03 12:25:00,,SHORT,26152.5,26169.0,-330.0,stop,VWAP Reversion,
2025-11-03 12:50:00,,SHORT,26166.0,26153.0,260.0,target,VWAP Reversion,
2025-11-03 13:10:00,,SHORT,26148.75,26143.5,105.0,target,VWAP Reversion,
2025-11-03 13:30:00,,SHORT,26171.5,26162.5,180.0,target,VWAP Reversion,
2025-11-03 13:40:00,,SHORT,26175.75,26226.5,-1015.0,stop,VWAP Reversion,
2025-11-03 13:55:00,2025-11-03 14:00:00,SHORT,26189.0,26204.86,-317.14,real_dollar_stop,Z-Score MR v2,1.0
2025-11-03 14:05:00,2025-11-03 14:25:00,SHORT,26213.0,26234.12,-422.5,real_dollar_stop,Z-Score MR v2,4.0
2025-11-03 14:05:00,,SHORT,26213.0,26235.5,-450.0,stop,VWAP Reversion,
2025-11-03 14:30:00,,SHORT,26234.75,26176.25,1170.0,target,VWAP Reversion,
2025-11-03 14:30:00,2025-11-03 14:40:00,SHORT,26234.75,26167.0,1355.0,reverted,Z-Score MR v2,2.0
2025-11-03 15:00:00,,LONG,26111.5,26123.0,230.0,target,VWAP Reversion,
2025-11-03 15:00:00,2025-11-03 15:25:00,LONG,26111.5,26078.73,-655.36,real_dollar_stop,Z-Score MR v2,5.0
