strategy,entry_time,exit_time,side,entry_price,stop_price,target_price,exit_reason,pnl_points,pnl_dollars_1x,result,entry_price_nq,exit_price_nq,entry_price_es,exit_price_es,hedge_ratio,pnl_dollars_3x,pnl_dollars_5x
"FVG Rejection (1.2R, WR-optimized)",2026-02-10 06:05:00+00:00,,SHORT,25337.5,25351.75,25320.4,,,338.0,WIN,,,,,,1014.0,1690.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-10 06:10:00+00:00,,SHORT,25330.0,25335.75,25323.1,,,134.0,WIN,,,,,,402.0,670.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-10 06:15:00+00:00,,SHORT,25318.25,25330.75,25303.25,,,-254.0,LOSS,,,,,,-762.0,-1270.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-10 06:40:00+00:00,,SHORT,25302.75,25324.0,25277.25,,,-429.0,LOSS,,,,,,-1287.0,-2145.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-10 07:05:00+00:00,,SHORT,25330.5,25342.5,25316.1,,,284.0,WIN,,,,,,852.0,1420.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-10 07:15:00+00:00,,LONG,25332.75,25308.75,25361.55,,,572.0,WIN,,,,,,1716.0,2860.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-10 07:20:00+00:00,,SHORT,25335.0,25349.25,25317.9,,,-289.0,LOSS,,,,,,-867.0,-1445.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-10 08:00:00+00:00,,LONG,25337.0,25331.75,25343.3,,,122.0,WIN,,,,,,366.0,610.0
Trend Following,2026-02-10 08:15:00+00:00,2026-02-10 10:55:00+00:00,LONG,25345.75,25315.07,25437.79,TIME_EXIT,9.5,186.0,WIN,,,,,,558.0,930.0
Volatility Breakout,2026-02-10 09:00:00+00:00,2026-02-10 10:00:00+00:00,LONG,25365.0,25343.09,25419.78,STOP,-21.91,-442.21,LOSS,,,,,,-1326.63,-2211.05
"FVG Rejection (1.2R, WR-optimized)",2026-02-10 09:30:00+00:00,,LONG,25390.0,25378.5,25403.8,,,-234.0,LOSS,,,,,,-702.0,-1170.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-10 09:45:00+00:00,,LONG,25374.5,25361.0,25390.7,,,-274.0,LOSS,,,,,,-822.0,-1370.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-10 09:50:00+00:00,,LONG,25363.0,25334.25,25397.5,,,-579.0,LOSS,,,,,,-1737.0,-2895.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-10 10:00:00+00:00,,SHORT,25349.25,25373.0,25320.75,,,-479.0,LOSS,,,,,,-1437.0,-2395.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-10 11:20:00+00:00,,LONG,25358.5,25351.5,25366.9,,,164.0,WIN,,,,,,492.0,820.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-10 11:20:00+00:00,,SHORT,25358.5,25366.0,25349.5,,,-154.0,LOSS,,,,,,-462.0,-770.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-10 11:30:00+00:00,,LONG,25356.25,25347.0,25367.35,,,218.0,WIN,,,,,,654.0,1090.0
Volatility Breakout,2026-02-10 12:00:00+00:00,2026-02-10 12:05:00+00:00,LONG,25392.0,25379.38,25423.56,STOP,-12.62,-256.5,LOSS,,,,,,-769.5,-1282.5
"FVG Rejection (1.2R, WR-optimized)",2026-02-10 12:05:00+00:00,,SHORT,25379.75,25391.0,25366.25,,,-229.0,LOSS,,,,,,-687.0,-1145.0
